time_ms,iTOW,connected,hasFix,sats,lat_deg,lon_deg,alt_m,speed_kph,velN_mps,velE_mps,velD_mps,gX,gY,gZ,rollRate_dps,pitchRate_dps,yawRate_dps,yaw_deg,pitch_deg,lean_deg,can_valid,can_rpm,can_gear,can_speed,can_neutral,can_clutch,can_brake_switch,can_coolant_temp,can_throttle_demand_pct,can_throttle_actual_raw,can_rear_motion_raw,can_shift_event_raw,can_att_174_raw,can_att_178_raw,can_att_17c_raw
11160,5200,1,0,0,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.0390,0.0310,0.9990,-2.20,0.82,0.43,0.000,-2.236,2.994,1,0,0,0.0,1,0,1,64.0,0.0,109,0,0,126,15998
11251,5280,1,0,0,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.0380,0.0310,0.9980,-2.28,0.80,0.41,0.000,-2.181,3.021,1,0,0,0.0,1,0,1,64.0,0.0,109,0,0,95,6526
11313,5360,1,0,0,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.0400,0.0310,0.9990,-2.38,0.81,0.45,0.000,-2.293,3.044,1,0,0,0.0,1,0,1,64.0,0.0,109,0,0,90,15998
11401,5440,1,0,0,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.0440,0.0370,0.9990,-2.46,0.82,0.47,0.000,-2.522,3.061,1,0,0,0.0,1,0,1,64.0,0.0,109,0,0,76,14462
11461,5520,1,0,0,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.0440,0.0360,0.9980,-2.59,0.83,0.45,0.000,-2.524,3.068,1,0,0,0.0,1,0,1,64.0,0.0,109,0,0,76,14462
11553,5600,1,0,0,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.0400,0.0330,0.9980,-2.67,0.83,0.44,0.000,-2.295,3.064,1,0,0,0.0,1,0,1,64.0,0.0,109,0,0,64,5246
11616,5640,1,0,0,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.0400,0.0330,0.9990,-2.66,0.83,0.45,0.000,-2.293,3.062,1,0,0,0.0,1,0,1,64.0,0.0,109,0,0,53,-1666
11703,5760,1,0,0,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.0400,0.0360,0.9990,-2.73,0.82,0.46,0.000,-2.293,3.062,1,0,0,0.0,1,0,1,64.0,0.0,109,0,0,53,-1666
11768,5800,1,0,0,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.0400,0.0380,0.9990,-2.81,0.82,0.45,0.000,-2.293,3.060,1,0,0,0.0,1,0,1,64.0,0.0,109,0,0,42,-1666
11856,5880,1,0,0,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.0410,0.0370,0.9990,-2.98,0.83,0.47,0.000,-2.350,3.043,1,0,0,0.0,1,0,1,64.0,0.0,109,0,0,42,-1666
11922,5960,1,0,0,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.0410,0.0360,0.9990,-3.13,0.82,0.49,0.000,-2.350,3.014,1,0,0,0.0,1,0,1,64.0,0.0,108,0,0,-11,-1666
12014,6040,1,0,0,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.0400,0.0340,0.9990,-3.19,0.82,0.49,0.000,-2.293,2.975,1,0,0,0.0,1,0,1,64.0,0.0,108,0,0,-36,11646
